Project Name :,JIB-Ecommerce,,,Create Date :,2026-05-25,,
Project ID :,,,,Start Test Date :,2026-05-25,,
Tester Name :,admin zero,,,Finish Test Date :,2026-05-25,,
Project Release / Version :,1.0,,,Module / Function :,แบรนด์สินค้า (Brands) - ครบทุกหน้า,,
URL List :,https://devstorex.jibc.codelabdev.co/store/product-manager/brands,,,,,,
URL Create :,https://devstorex.jibc.codelabdev.co/store/product-manager/brands/create,,,,,,
URL Edit :,https://devstorex.jibc.codelabdev.co/store/product-manager/brands/update/{id},,,,,,
Total Records :,756 (ณ วันทดสอบ),,,,,,
,,,,,,,
Test Case ID,Category,Test case Objective,Test Description / Procedure,Test Data,Expected Result,Actual Result,Result (Pass/Fail)
,,,,,,,
"---- PART 1: หน้า List (รายการแบรนด์สินค้า) ----",,,,,,,
,,,,,,,
"-- A. การโหลดหน้า + UI Elements --",,,,,,,
J-BR-LP001,Page Load,เปิดหน้ารายการ (Default state),1. เข้า URL /store/product-manager/brands,-,"แสดงตารางข้อมูล 10 รายการแรก + รายการรวม + pagination + ปุ่มเพิ่ม","โหลดสำเร็จ 10 แถวแรก / รายการรวม 756 / pagination 1-76 / ปุ่มทำงานครบ",Pass
J-BR-LP002,UI,ตรวจสอบ Breadcrumb,1. ดู breadcrumb,-,"แสดง: ร้านค้า > จัดการสินค้า > แบรนด์สินค้า",Breadcrumb แสดงครบ 3 ระดับ,Pass
J-BR-LP003,UI,ตรวจสอบ Header,1. ดูข้อความหัวหน้า,-,"แสดง 'แบรนด์สินค้า' + คำบรรยาย",แสดงครบถ้วน,Pass
J-BR-LP004,UI,ตรวจสอบคอลัมน์ในตาราง,1. ดูหัวคอลัมน์,-,"11 คอลัมน์: checkbox, #, แบรนด์สินค้า, SKU, รายละเอียดแบรนด์สินค้า, จำนวนรายการสินค้า, สถานะ, ผู้สร้าง, วันที่สร้าง, ผู้แก้ไขล่าสุด, วันที่แก้ไข, จัดการ",คอลัมน์ครบตามที่คาด,Pass
J-BR-LP005,UI,ตรวจสอบ Action Bar,1. ดู toolbar ด้านบนตาราง,-,"มี: ช่องค้นหา, dropdown สถานะ, ปุ่มตัวกรอง, ปุ่มปรับแต่งคอลัมน์, ปุ่มเพิ่มแบรนด์สินค้า",มี UI elements ครบทั้งหมด,Pass
J-BR-LP006,UI,แสดงคอลัมน์ SKU,1. ดูคอลัมน์ SKU,-,แสดงรหัส SKU ของแต่ละแบรนด์,SKU แสดงค่า '-' เมื่อไม่มี / แสดงตัวเลขเมื่อมี,Pass
