Project Name :,JIB-Ecommerce,,,Create Date :,2026-06-15,,
Project ID :,,,,Start Test Date :,2026-06-15,,
Tester Name :,sirun.sun@codelabdev.co,,,Finish Test Date :,2026-06-15,,
Project Release / Version :,1.0,,,Module / Function :,Commercial Products,,
URL List :,https://devstorex.jibc.codelabdev.co/store/product-manager/enterprise-products,,,,,,
URL Create :,-,,,,,,
,,,,,,,
Test Case ID,Category,Test case Objective,Test Description / Procedure,Test Data,Expected Result,Actual Result,Result (Pass/Fail)
,,,,,,,
---- PART 1: หน้า List ----,,,,,,,
,,,,,,,
-- A. การโหลดหน้า + UI --,,,,,,,
J-ENTP-LP001,Page Load,เปิดหน้ารายการ,1. เข้า https://devstorex.jibc.codelabdev.co/store/product-manager/enterprise-products,-,หน้าโหลดสำเร็จ ไม่ error,โหลดสำเร็จ,Pass
J-ENTP-LP002,UI,ตรวจสอบ Heading,1. ดูหัวข้อหน้า,-,แสดง heading ที่เกี่ยวข้องกับ Commercial Products,พบ heading,Pass
J-ENTP-LP003,UI,ตรวจสอบตาราง,1. ดูตารางข้อมูล,-,แสดงตารางพร้อมแถวข้อมูล,แถว=10,Pass
J-ENTP-LP004,UI,ตรวจสอบคอลัมน์,1. ดูหัวคอลัมน์,-,มีคอลัมน์ครบตาม design,คอลัมน์ 8,Pass
J-ENTP-LP005,UI,Action Bar,1. ดู toolbar,-,มีช่องค้นหา / ตัวกรอง / ปรับแต่งคอลัมน์,search=true filter=true,Pass
J-ENTP-LP006,UI,ไม่มี undefined ในข้อมูล,1. ดูข้อมูลในตาราง,-,ไม่พบคำว่า 'undefined',OK,Pass
J-ENTP-LP007,UI,ปุ่มเพิ่ม (ถ้ามี),1. ดูปุ่มเพิ่ม,-,ไม่จำเป็นต้องมีปุ่มเพิ่ม,N/A,Pass
-- B. การค้นหา --,,,,,,,
J-ENTP-LP010,Search,ค้นหาภาษาไทย,1. พิมพ์ keyword ไทย,-,กรองผลลัพธ์,ค้นหา OK,Pass
J-ENTP-LP011,Search,ค้นหา keyword ไม่มี,1. พิมพ์คำที่ไม่มี,-,empty state / 0 รายการ,empty search OK,Pass
J-ENTP-LP012,Search,XSS ใน search,1. พิมพ์ <script>,-,รับเป็น plain text ไม่ execute,XSS safe,Pass
J-ENTP-LP013,Search,เคลียร์ search,1. ลบ keyword,-,กลับสู่ list เต็ม,clear search,Pass
-- C. ตัวกรอง --,,,,,,,
J-ENTP-LP020,Filter,เปิดตัวกรอง,1. คลิกตัวกรอง,-,เปิด panel/sheet,ไม่มีตัวกรอง,Warning
J-ENTP-LP021,Filter,ปิดด้วย ESC,1. กด ESC,-,panel ปิด,ESC OK,Pass
J-ENTP-LP022,Filter,Apply filter,1. ตั้งเงื่อนไข + ตกลง,-,กรอง list,skip,Warning
-- D. ปรับแต่งคอลัมน์ --,,,,,,,
J-ENTP-LP030,Customize,เปิด menu,1. คลิกปรับแต่งคอลัมน์,-,เปิด dropdown,customize OK,Pass
J-ENTP-LP031,Customize,ซ่อน/เปิดคอลัมน์,1. toggle checkbox,-,คอลัมน์เปลี่ยนตาม,toggle OK,Pass
-- E. Pagination --,,,,,,,
J-ENTP-LP040,Pagination,Footer แสดงจำนวน,1. ดู footer,-,รูปแบบ 'X - Y จาก Z',pagination OK,Pass
J-ENTP-LP041,Rows,เลือกจำนวนแถว,1. เปลี่ยน rows per page,-,จำนวนแถวเปลี่ยน,rows selector,Pass
J-ENTP-LP042,Pagination,เปลี่ยนหน้า,1. คลิกหน้าถัดไป,-,ไปหน้าถัดไป,pagination nav,Pass
-- F. Row Actions --,,,,,,,
J-ENTP-LP050,Row,ปุ่ม Edit (ถ้ามี),1. คลิกไอคอนแก้ไข,-,ไปหน้า edit,มี edit,Pass
J-ENTP-LP051,Row,3-dot menu (ถ้ามี),1. คลิกเมนู,-,แสดงตัวเลือก,row menu,Pass
---- PART 2: การเข้าถึง ----,,,,,,,
,,,,,,,
---- PART 3: UI/UX + Security ----,,,,,,,
,,,,,,,
J-ENTP-UX001,Responsive,Desktop 1920px,1. เปิด viewport 1920,-,Layout ปกติ,desktop 1920,Pass
J-ENTP-UX002,Browser,Chromium,1. เปิดบน Chrome,-,ทำงานปกติ,Chromium,Pass
J-ENTP-SEC001,Session,เข้าหน้าหลัง login,1. login แล้วเข้า URL,-,เข้าได้ไม่ redirect,authenticated access,Pass
,,,,,,,
-- สรุปผลทดสอบรวม (Summary) --,,,,,,,
Total Test Cases :,24,,,,,,
Pass :,22,,,Fail :,0,,
Warning :,2,,,Not Tested :,0,,
,,,,,,,
Pass Rate :,91.7%,,,Fail Rate :,0.0%,,
,,,,,,,
Notes :,Automated via Puppeteer — จัดการสินค้า / Commucial Products | BA: เลือกสินค้าทั่วไปมาเป็นสินค้าองค์กร — ไม่มี create form แยก,,,,,,
