Project Name :,JIB-Ecommerce,,,Create Date :,2026-06-16,,
Project ID :,,,,Start Test Date :,2026-06-16,,
Tester Name :,sirun.sun@codelabdev.co,,,Finish Test Date :,,,
Project Release / Version :,1.0,,,Module / Function :,ตัวกรองสินค้า (Filters) -- Faceted Filter Builder,,
URL List :,https://devstorex.jibc.codelabdev.co/store/product-manager/filters,,,,,,
URL Create :,https://devstorex.jibc.codelabdev.co/store/product-manager/filters/create,,,,,,
URL Edit :,https://devstorex.jibc.codelabdev.co/store/product-manager/filters/update/{id},,,,,,
Business Context :,ตัวสร้างแถบกรองสินค้า (faceted filter) ของหน้าร้านต่อหมวดหมู่. โครงสร้าง 3 ชั้น: Filter config (1 ต่อ Category 1+2) -> Filter facet (Filter name TH/EN) -> Filter value (ค่าตัวเลือก). ผูกกับ Categories + Products (แท็บตัวกรองสินค้า). ตัวอย่าง MONITOR: ชนิดพาเนล/อัตรารีเฟรช/ความละเอียด/ขนาดจอ. มี 13 config ในระบบ,,,,,,
,,,,,,,
Test Case ID,Category,Test case Objective,Test Description / Procedure,Test Data,Expected Result,Actual Result,Result (Pass/Fail)
,,,,,,,
---- PART 1: หน้า List (รายการตัวกรอง) ----,,,,,,,
,,,,,,,
-- A. การโหลดหน้า + UI --,,,,,,,
J-FIL-LP001,Page Load,เปิดหน้ารายการ,1. เข้า URL /filters,-,โหลดตาราง + footer + ปุ่ม controls ครบ,"เข้า /filters -> โหลดตาราง + footer ""1-10 จาก 13"" + controls ครบ",Pass
J-FIL-LP002,UI,Breadcrumb,1. ดู breadcrumb,-,ร้านค้า > จัดการสินค้า > Filters,breadcrumb ร้านค้า > จัดการสินค้า > Filters,Pass
J-FIL-LP003,UI,Header,1. ดูหัวข้อหน้า,-,แสดง 'Filters' + คำบรรยาย 'จัดการตัวกรองสินค้า',"header ""Filters"" + ""จัดการตัวกรองสินค้า""",Pass
J-FIL-LP004,UI,คอลัมน์ในตาราง,1. ดูหัวคอลัมน์,-,"คอลัมน์: #, Category 1, Category 2, ตัวกรอง, จำนวนตัวกรอง, สถานะ, ผู้สร้าง, วันที่สร้าง, ผู้แก้ไขล่าสุด, วันที่แก้ไข, จัดการ",คอลัมน์ครบ 11 (#/Category 1/Category 2/ตัวกรอง/จำนวนตัวกรอง/สถานะ/ผู้สร้าง/.../จัดการ),Pass
J-FIL-LP005,UI,Action Bar,1. ดู toolbar,-,"มี: ปุ่มสถานะ, ตัวกรอง, ปรับแต่งคอลัมน์, เพิ่ม Filter",toolbar: ปุ่มสถานะ + ตัวกรอง + ปรับแต่งคอลัมน์ + เพิ่ม Filter + ช่องค้นหา,Pass
J-FIL-LP006,UI,จำนวนรายการรวม,1. ดู footer,-,รูปแบบ 'X - Y จาก Z รายการ' (13 รายการ),"footer ""1 - 10 จาก 13 รายการ""",Pass
