Project Name :,JIB-Ecommerce,,,Create Date :,2026-07-02,,
Project ID :,,,,Start Test Date :,2026-07-02,,
Tester Name :,sirun.sun@codelabdev.co,,,Finish Test Date :,2026-07-02,,
Project Release / Version :,1.0,,,Module / Function :,โปรผ่อน 0% (Installment Prozero),,
URL List :,https://devstorex.jibc.codelabdev.co/store/installment/installment-prozero,,,,,,
URL Create :,https://devstorex.jibc.codelabdev.co/store/installment/installment-prozero/create,,,,,,
,,,,,,,
Test Case ID,Category,Test case Objective,Test Description / Procedure,Test Data,Expected Result,Actual Result,Result (Pass/Fail)
,,,,,,,
---- PART 1: หน้า List — โปรผ่อน 0% ----,,,,,,,
,,,,,,,
,,,,-,,ยังไม่ได้รัน automated test,Not Tested
-- A. UI + Tabs --,,,,,,,
J-IPZ-LP001,Page Load,เปิดหน้ารายการ,1. เข้า /store/installment/installment-prozero,-,หน้าโหลดสำเร็จ,หน้า list โหลดสำเร็จ,Pass
J-IPZ-LP002,UI,Heading,1. ดูหัวข้อ,-,โปรผ่อน 0%,"heading=""""",Warning
J-IPZ-LP003,UI,Action bar,1. ดู toolbar,-,"ค้นหา, สถานะ, ระยะเวลาแคมเปญ, ตัวกรอง, CSV, เพิ่มโปร","actionbar={""search"":true,""status"":true,""date"":true,""filter"":true,""cols"":true,""add"":true,""tabAll"":true,""tabTrash"":true,""csvTemplate"":true,""csvUpload"":true,""csvManage"":true,""history"":true}",Pass
J-IPZ-LP004,UI,ตารางข้อมูล,1. รอโหลด list,-,แสดงแถวแคมเปญ (อาจ skeleton ก่อน),แถว=0 skeleton=120,Warning
J-IPZ-LP005,UI,คอลัมน์,1. ดู thead,-,มีคอลัมน์ตาม design,"คอลัมน์=["""","""","""","""","""",""""]",Pass
J-IPZ-LP010,Tabs,ถังขยะ,1. คลิก tab ถังขยะ,-,URL ?tab=trash,ถังขยะ tab OK,Pass
J-IPZ-LP011,Tabs,ทั้งหมด,1. กลับ tab ทั้งหมด,-,กลับ list ปกติ,กลับ tab ทั้งหมด,Pass
-- B. Search + Filter --,,,,,,,
J-IPZ-LP020,Search,ค้นหา,1. พิมพ์ keyword,-,URL มี search param,search url has param=true,Pass
J-IPZ-LP021,Search,คำไม่มี,1. พิมพ์คำสุ่ม,-,empty state,ยังมีแถว,Warning
J-IPZ-LP022,Search,เคลียร์,1. ลบ keyword,-,กลับ list เต็ม,เคลียร์ search,Pass
J-IPZ-LP030,Filter,สถานะ,1. คลิก dropdown สถานะ,-,เปิดได้,dropdown สถานะ เปิด,Pass
J-IPZ-LP031,Filter,ระยะเวลาแคมเปญ,1. คลิก filter วันที่,-,calendar เปิด,date filter เปิด,Pass
J-IPZ-LP032,Filter,ตัวกรองรวม,1. คลิกตัวกรอง,-,sheet เปิด,filter sheet เปิด,Pass
J-IPZ-LP033,Customize,ปรับแต่งคอลัมน์,1. คลิกปรับแต่งคอลัมน์,-,menu เปิด,customize เปิด,Pass
-- C. CSV + Pagination --,,,,,,,
J-IPZ-LP040,CSV,ประวัติอัปโหลด,1. คลิกประวัติการอัปโหลด,-,dialog แสดงประวัติ CSV,dialog ประวัติ CSV เปิด,Pass
J-IPZ-LP041,CSV,ปุ่ม CSV,1. ดูปุ่ม CSV Template/อัปโหลด/จัดการ,-,มีครบ 3 ปุ่ม,มีปุ่ม CSV ครบ,Pass
J-IPZ-LP050,Pagination,Footer,1. ดู footer,-,X - Y จาก Z รายการ,ไม่พบ footer,Warning
J-IPZ-LP060,Row,Edit link,1. ดูแถว,-,มีลิงก์ /update/{id},ไม่พบ edit link ในแถว (อาจ virtualized),Warning
J-IPZ-LP070,Create,ปุ่มเพิ่ม,1. คลิกเพิ่มโปรผ่อน 0%,-,ไป /create,ไปหน้า create,Pass
---- PART 2: หน้า Create ----,,,,,,,
,,,,,,,
,,,,-,,ยังไม่ได้รัน automated test,Not Tested
J-IPZ-CR001,UI,Header,1. เปิด create,-,เพิ่มโปรผ่อน 0%,header OK,Pass
J-IPZ-CR002,UI,ระยะเวลาแคมเปญ,1. ดู section,-,date range picker บังคับ,section วันที่,Pass
J-IPZ-CR003,UI,แผนผ่อนชำระ,1. ดู section,-,ปุ่มเพิ่มแผน + เลือกธนาคาร + งวด,section แผน,Pass
J-IPZ-CR004,UI,สินค้าที่ร่วมรายการ,1. ดู section,-,เลือกสินค้าหรือกรอก SKU,section สินค้า,Pass
J-IPZ-CR005,Business,กฎ 1:1,1. อ่านคำอธิบาย,-,1 โปรต่อ 1 สินค้า,กฎ 1:1 แสดง,Pass
J-IPZ-CR006,UI,สถานะ default,1. ดู toggle,-,กำลังเปิดใช้งาน = on,status default=checked,Pass
